item_no	itemPrice
0	4.7168
1	1.9086
2	2.697
3	4.074
4	2.7475
5	3.0661
6	1.8936
7	11.4596
8	6.7315
9	2.7
10	0.7363
11	1.0114
12	1.8452
13	4.2441
14	1.0973
15	0.3893
16	5.8289
17	0.1825
18	1.5012
19	0.7623
20	0.0913
21	1.01
22	0.895
23	2.1917
24	1.1872
25	6.1277
26	6.167
27	5.5622
28	1.1388
29	4.9786
30	2.7751
31	3.0052
32	1.3662
33	3.9122
34	1.7473
35	1.4048
36	2.2092
37	1.0614
38	4.0349
39	1.6114
40	0.7938
41	2.0798
42	1.8512
43	2.4456
44	3.4773
45	1.286
46	4.2726
47	4.7184
48	7.6289
49	1.562
50	3.3254
51	2.4469
52	1.7797
53	0.6617
54	0.8971
55	3.6936
56	3.2261
57	2.7224
58	1.5612
59	1.1138
60	2.8752
61	4.8471
62	2.1441
63	12.8028
64	5.0136
65	4.0655
66	0.244
67	0.2465
68	2.0117
69	1.1851
70	2.6184
71	3.2434
72	1.6917
73	3.0895
74	0.9302
75	1.6672
76	3.7378
77	3.7695
78	3.0178
79	2.0983
80	1.9972
81	1.2984
82	3.1921
83	3.0091
84	3.815
85	1.1916
86	1.206
87	2.962
88	3.7286
89	3.6324
90	2.216
91	0.9386
92	3.1721
93	5.697
94	2.0629
95	1.0985
96	4.1965
97	3.9315
98	3.7479
99	1.0043
100	2.3761
101	2.6452
102	1.7171
103	2.003
104	2.6703
105	2.6826
106	2.9753
107	3.2082
108	1.7883
109	4.1002
110	1.0307
111	1.8889
112	3.0552
113	3.1799
114	1.1947
115	1.8042
116	2.0109
117	0.4012
118	6.5569
119	3.8613
120	1.2259
121	1.5575
122	3.3588
123	2.4919
124	3.5006
125	1.0064
126	0.9866
127	1.6975
128	2.0169
129	2.5329
130	3.952
131	2.2943
132	1.0105
133	2.6474
134	3.6703
135	0.9975
136	1.2902
137	2.0408
138	0.9715
139	1.9684
140	7.2967
141	1.5136
142	1.1181
143	5.7953
144	2.7474
145	0.9793
146	6.8269
147	2.1276
148	4.4548
149	3.2673
150	3.1293
151	2.017
152	0.929
153	2.407
154	1.8766
155	0.5174
156	0.523
157	1.4671
158	3.8435
159	3.1866
160	2.9823
161	3.3594
162	2.6477
163	3.6549
164	0.898
165	3.0026
166	0.6836
167	1.3689
168	0.8344
169	3.2321
170	2.7253
171	3.1586
172	4.602
173	4.3586
174	4.701
175	3.9694
176	1.1048
177	2.3971
178	7.5757
179	2.6522
180	0.8297
181	0.8334
182	1.4094
183	4.843
184	1.86
185	1.5015
186	2.4086
187	0.9091
188	6.614
189	7.6755
190	2.4002
191	1.5062
192	2.5885
193	1.5605
194	0.9218
195	8.7395
196	3.3817
197	1.3232
198	7.0668
199	0.6541
200	1.3894
201	2.0095
202	3.0554
203	2.504
204	1.7968
205	4.949
206	5.8704
207	2.3633
208	2.4909
209	2.3286
210	2.6608
211	2.3142
212	3.772
213	3.23
214	0.9674
215	0.9773
216	1.9227
217	2.7511
218	1.0177
219	1.1287
220	1.4994
221	1.7786
222	4.5366
223	3.5398
224	0.9159
225	3.557
226	4.9068
227	1.2121
228	1.0923
229	1.8214
230	2.8787
231	0.9975
232	1.9854
233	2.2039
234	2.1694
235	0.9119
236	3.7353
237	1.9849
238	3.8137
239	0.3592
240	2.0976
241	2.4387
242	2.0141
243	3.3665
244	2.9177
245	3.1148
246	1.1428
247	3.1607
248	0.6637
249	3.1677
250	3.0213
251	3.3434
252	2.0264
253	0.997
254	3.2825
255	2.5534
256	2.5798
257	1.606
258	1.4755
259	4.6218
260	3.0457
261	4.0578
262	3.7288
263	3.4749
264	1.9981
265	2.3713
266	2.5136
267	0.9214
268	0.4995
269	0.4551
270	0.9909
271	0.9569
272	0.9483
273	1.1187
274	3.7473
275	2.0707
276	3.7416
277	4.792
278	0.9334
279	3.0292
280	4.1004
281	2.5458
282	1.9618
283	2.7445
284	1.89
285	2.1833
286	1.0698
287	7.3482
288	2.8068
289	2.6978
290	3.8141
291	2.823
292	6.3618
293	3.187
294	1.8605
295	0.9903
296	42.6201
297	1.0094
298	2.0606
299	5.1751
300	1.12
301	5.5339
302	1.9894
303	1.9924
304	1.2878
305	7.6478
306	0.6742
307	1.4598
308	1.4071
309	2.5874
310	3.4606
311	0.7992
312	0.3877
313	2.7336
314	3.5254
315	3.1211
316	2.2613
317	1.552
318	5.0852
319	3.3217
320	0.9311
321	0.9716
322	2.524
323	1.436
324	4.576
325	0.173
326	0.8995
327	1.398
328	2.1652
329	0.8599
330	2.712
331	1.7533
332	2.9392
333	4.3255
334	2.5992
335	2.8391
336	2.2632
337	0.9536
338	1.0744
339	1.2237
340	3.878
341	0.9616
342	2.9322
343	2.8176
344	0.9208
345	1.5232
346	0.9326
347	6.7972
348	2.6259
349	3.6214
350	2.7253
351	1.6457
352	1.8618
353	3.5999
354	1.8664
355	4.2952
356	2.9879
357	4.7402
358	7.0618
359	4.1243
360	4.0226
361	1.8543
362	3.5029
363	3.2483
364	5.7574
365	1.7003
366	1.7928
367	2.989
368	2.8026
369	2.9884
370	1.2238
371	4.4368
372	1.9299
373	1.5724
374	6.8172
375	2.6327
376	3.818
377	5.0093
378	0.9925
379	1.0038
380	2.8266
381	2.1542
382	1.492
383	2.8396
384	1.2792
385	3.5073
386	3.4836
387	1.926
388	2.0132
389	2.695
390	1.9338
391	2.9642
392	11.1625
393	2.2958
394	1.976
395	3.0117
396	3.1797
397	0.9157
398	1.6988
399	6.1628
400	2.5614
401	2.9914
402	3.7441
403	4.6073
404	5.0964
405	3.6715
406	1.1984
407	1.1745
408	4.0626
409	5.1051
410	1.0484
411	1.3752
412	5.5626
413	2.2938
414	2.0143
415	1.7179
416	5.0405
417	1.5595
418	1.0992
419	2.5252
420	1.8413
421	7.1523
422	3.2039
423	1.8235
424	1.4401
425	1.8983
426	2.7044
427	1.5087
428	3.8717
429	2.5225
430	3.0431
431	4.5542
432	2.3082
433	1.9841
434	1.9517
435	4.4186
436	1.9763
437	1.7736
438	1.8525
439	12.1436
440	1.6292
441	3.2858
442	3.263
443	1.5716
444	2.5178
445	1.0127
446	0.2626
447	0.2423
448	2.989
449	3.9932
450	4.5674
451	3.9935
452	1.057
453	2.3426
454	3.4001
455	1.3758
456	3.9979
457	3.9592
458	2.7096
459	2.9651
460	5.6332
461	1.2824
462	0.8609
463	1.4994
464	4.9991
465	1.3112
466	3.4976
467	3.8226
468	2.3154
469	4.2946
470	1.9635
471	1.0777
472	1.0824
473	7.3627
474	3.0608
475	1.5855
476	1.8526
477	2.2773
478	3.8184
479	2.2644
480	2.522
481	3.1821
482	3.5761
483	3.0267
484	1.2947
485	4.2364
486	1.1239
487	6.1363
488	3.8415
489	1.5716
490	2.3726
491	2.0417
492	2.0853
493	4.0454
494	1.7232
495	1.9138
496	1.4418
497	7.7138
498	2.4123
499	2.318
500	2.8193
501	1.7196
502	0.2327
503	3.1854
504	1.6335
505	0.269
506	2.5764
507	5.7369
508	2.9005
509	4.5302
510	4.718
511	2.0048
512	5.0009
513	3.3031
514	4.3831
515	2.4404
516	4.0019
517	1.3608
518	0.9268
519	1.5908
520	1.3386
521	2.4574
522	0.3082
523	5.7752
524	4.6816
525	1.4824
526	2.8561
527	2.5047
528	0.9258
529	1.4654
530	2.8015
531	2.9339
532	1.2772
533	1.874
534	3.1819
535	3.0445
536	1.4449
537	1.8235
538	4.3276
539	1.6165
540	3.8232
541	0.6924
542	0.9001
543	0.4907
544	2.9542
545	1.7505
546	1.4279
547	2.319
548	2.4328
549	1.6191
550	2.4514
551	6.1384
552	4.6768
553	2.7657
554	4.1398
555	2.7869
556	23.6323
557	5.7003
558	1.004
559	2.7651
560	5.6434
561	1.0026
562	1.404
563	2.0112
564	1.9865
565	3.8636
566	0.8058
567	1.4372
568	2.509
569	4.8513
570	0.9318
571	1.9396
572	2.2656
573	3.8256
574	6.3655
575	1.5764
576	2.131
577	2.1812
578	4.3162
579	1.7871
580	2.7917
581	8.3269
582	1.212
583	1.4558
584	3.8496
585	3.61
586	1.3368
587	2.6139
588	2.0207
589	3.0323
590	1.8241
591	2.2303
592	2.9078
593	5.682
594	2.9954
595	4.1512
596	1.7385
597	4.172
598	2.3935
599	0.825
600	2.6174
601	0.2463
602	3.9604
603	2.7646
604	2.4814
605	2.5439
606	3.4766
607	6.9418
608	2.8904
609	2.9498
610	1.4102
611	1.6276
612	1.6044
613	3.0777
614	2.2415
