iid,cluster
7683,3
8678,16
7319,6
2261,12
6870,15
2550,8
6823,8
8830,15
3890,17
1670,10
5743,6
1379,15
5661,16
8677,12
4498,6
7379,16
5704,6
5478,6
6313,12
5064,0
7443,12
9784,12
8367,16
1092,18
8619,13
9212,0
7016,12
4590,15
5278,15
8322,15
1381,16
4489,6
8182,13
4529,15
2430,16
8545,14
4967,16
6492,6
3762,12
1984,6
8870,12
3267,10
3354,6
7236,16
7599,15
1690,0
2611,13
7997,10
4981,4
4533,6
1881,6
7872,6
3738,0
5304,0
9478,6
8160,6
1164,6
5166,14
7618,13
5870,16
8614,15
9546,16
9523,15
6532,10
4881,6
5908,15
1732,0
9897,0
2878,10
8481,6
9723,15
8293,15
9666,16
5966,15
4895,15
4190,0
8878,17
5756,0
4570,12
4108,12
9860,6
4762,0
5434,6
8917,11
6757,15
3433,18
4130,0
5407,0
1219,3
4281,6
5188,12
3029,6
2114,18
3617,6
9233,0
9189,5
3682,3
8834,15
7149,17
2260,10
7930,15
1676,16
2030,12
3212,16
4510,15
3133,16
4903,12
1542,6
2890,13
4956,16
2626,16
6722,16
7933,18
3071,0
2904,16
7399,6
7234,12
7089,12
3530,17
7733,15
8428,6
5017,6
7881,6
6567,18
7595,12
4758,15
4703,12
8403,15
1927,15
1298,6
2830,16
5252,10
9333,16
1345,15
9094,16
9400,16
4820,12
8797,6
6561,15
1796,12
9582,12
4609,15
6363,6
1665,6
5142,16
1242,6
4445,6
2612,12
7404,15
1797,6
6498,15
3366,0
4576,6
8536,14
6039,13
9839,10
3888,10
5229,15
2635,15
1609,6
4387,0
3189,13
5821,16
5493,16
8993,14
2810,13
5199,0
8958,15
3122,0
8888,15
1664,15
7570,6
5378,16
2719,6
3384,15
9282,12
1133,17
2424,6
4799,16
2326,6
5681,15
5916,5
4978,15
9569,16
6060,14
2007,5
2335,12
8986,6
2819,10
4007,15
8719,10
4602,15
7810,0
5330,16
2329,15
8722,6
1723,15
6855,16
3220,15
8713,6
5594,16
1634,12
6340,10
8839,12
4096,5
3573,10
3299,16
7182,6
1630,16
7738,12
2729,12
8733,6
2849,12
7034,18
7660,10
4753,12
1629,16
8701,16
6371,15
7848,6
5620,13
2002,6
4083,6
5837,5
2975,0
6405,15
9661,16
