uid,cluster
10004,7
10006,2
10007,3
10008,4
10012,4
10021,9
10023,7
10024,0
10027,9
10032,0
10033,4
10034,7
10035,6
10039,6
10041,5
10049,2
10052,7
10053,7
10054,9
10070,6
10072,3
10075,2
10080,7
10083,7
10086,6
10087,6
10088,3
10095,5
10097,6
10098,0
10101,6
10102,7
10103,5
10106,7
10108,5
10109,7
10110,7
10114,5
10115,6
10119,6
10120,3
10124,0
10127,6
10128,4
10130,9
10135,0
10137,6
10140,5
10142,7
10144,5
10147,7
10149,7
10150,6
10151,9
10156,9
10158,7
10161,0
10167,2
10170,2
10175,6
10176,6
10179,5
10180,5
10182,3
10186,4
10190,4
10191,4
10194,2
10195,0
10196,7
10197,3
10198,4
10199,3
10210,7
10212,8
10216,5
10219,7
10221,9
10222,9
10224,0
10225,0
10226,7
10231,6
10237,5
10239,7
10242,4
10245,5
10248,5
10250,3
10251,5
10253,7
10256,0
10259,6
10261,9
10262,9
10265,7
10266,3
10267,0
10268,6
10269,9
10270,0
10271,8
10272,8
10273,6
10274,0
10277,5
10278,4
10280,6
10283,5
10285,5
10288,4
10291,0
10292,6
10295,4
10297,4
10300,9
10304,7
10309,0
10313,9
10314,9
10321,9
10323,5
10325,2
10326,5
10328,2
10330,0
10331,4
10333,3
10335,8
10341,4
10342,7
10344,7
10347,4
10351,4
10353,9
10354,9
10356,0
10359,0
10362,4
10365,7
10369,7
10373,7
10374,8
10378,6
10379,2
10380,9
10383,7
10394,6
10396,4
10398,7
10399,3
10400,4
10402,6
10407,0
10410,9
10416,4
10417,7
10419,4
10421,7
10422,7
10423,2
10428,4
10429,9
10430,6
10431,2
10433,6
10435,7
10436,4
10439,3
10441,3
10444,0
10446,0
10447,6
10448,9
10450,2
10452,0
10454,0
10456,4
10457,9
10458,0
10460,4
10462,0
10466,2
10467,2
10469,5
10470,0
10471,5
10472,7
10473,9
10474,7
10475,3
10476,4
10477,7
10478,0
10481,4
10482,4
10483,5
10484,7
10487,7
10488,3
10489,7
10491,4
10499,0
10501,0
10502,0
10504,6
10505,9
10506,8
10508,0
10510,0
10512,4
10516,4
10519,0
10522,7
10524,3
10525,0
10529,7
10532,8
10536,5
10539,5
10541,9
10542,5
10543,4
10545,9
10548,7
10549,9
10550,7
10556,7
10561,7
10562,7
10563,9
10564,7
10573,4
10574,7
10578,4
10581,0
10582,7
10585,6
10586,4
10588,9
10590,3
10592,6
10593,3
10601,0
10604,7
10611,8
10612,9
10614,0
10616,9
10618,6
10624,7
10625,4
10627,5
10628,7
10629,9
10630,3
10631,2
10632,2
10642,3
10643,0
10644,7
10646,9
10647,0
10651,9
10652,7
10653,0
10655,7
10659,9
10662,2
10664,9
10665,0
10669,6
10672,4
10673,3
10674,3
10675,2
10676,9
10679,4
10680,6
10681,4
10685,6
10686,4
10687,7
10688,0
10689,6
10690,5
10695,4
10696,3
10697,4
10700,4
10701,5
10702,0
10708,7
10712,2
10713,4
10720,0
10724,4
10725,9
10726,4
10729,4
10730,4
10732,9
10736,4
10738,6
10745,9
10749,5
10752,5
10754,3
10756,2
10758,0
10759,9
10762,4
10763,4
10766,9
10771,9
10772,5
10773,0
10776,4
10779,0
10780,5
10782,7
10784,7
10788,7
10795,9
10800,9
10802,9
10803,9
10804,9
10807,7
10808,0
10809,7
10811,2
10812,4
10820,6
10821,7
10822,5
10828,2
10829,3
10831,9
10833,6
10836,7
10838,7
10839,4
10842,4
10843,3
10845,9
10848,9
10849,9
10851,7
10852,6
10853,3
10856,4
10862,3
10866,5
10867,0
10870,3
10871,7
10872,7
10873,9
10874,3
10880,2
10883,4
10884,0
10885,3
10886,7
10890,5
10892,7
10896,4
10897,7
10898,9
10902,7
10904,0
10905,3
10906,2
10911,5
10913,7
10914,7
10920,7
10921,5
10923,7
10926,9
10928,6
10930,4
10931,9
10934,3
10935,5
10936,9
10938,8
10940,5
10942,8
10943,3
10945,3
10949,0
10953,0
10954,2
10955,4
10957,7
10960,6
10962,0
10963,8
10964,4
10965,2
10966,6
10967,4
10970,5
10971,5
10979,6
10980,0
10985,9
10986,6
10988,5
10989,5
10994,7
10995,9
10996,0
10998,2
10999,4
11000,4
11001,0
11003,7
11005,7
11013,9
11018,3
11020,6
11021,6
11022,2
11025,0
11030,4
11031,4
11032,0
11033,8
11034,5
11035,2
11036,2
11038,4
11039,9
11040,3
11041,5
11043,0
11045,9
11048,6
11053,4
11057,0
11059,3
11060,7
11061,9
11064,0
11068,9
11070,6
11072,6
11077,2
11078,4
11081,0
11087,6
11088,7
11090,7
11091,7
11092,6
11096,5
11097,4
11098,6
11099,0
11106,2
11114,7
11116,7
11118,4
11121,9
11122,4
11123,7
11126,2
11131,3
11138,6
11139,5
11141,2
11146,5
11152,0
11154,7
11155,9
11162,4
11164,7
11165,9
11166,7
11167,7
11169,0
11170,7
11171,7
11173,0
11174,5
11175,7
11180,0
11181,5
11182,4
11185,7
11187,4
11189,7
11190,5
11192,4
11193,6
11194,5
11197,7
11199,7
11200,4
11203,6
11205,0
11213,3
11216,9
11217,0
11219,9
11220,7
11221,2
11222,4
11226,3
11227,2
11228,7
11230,7
11241,9
11246,5
11248,0
11250,5
11253,4
11256,3
11257,0
11260,7
11261,6
11262,4
11266,3
11270,7
11272,9
11275,3
11276,4
11277,0
11278,9
11281,3
11282,9
11285,4
11288,5
11289,9
11290,6
11291,0
11295,3
11296,7
11297,6
11298,7
11300,6
11305,0
11309,7
11311,6
11314,6
11315,5
11317,4
11318,9
11319,0
11322,6
11323,4
11325,7
11326,5
11327,3
11330,4
11334,2
11343,6
11346,4
11348,7
11349,7
11351,4
11361,4
11362,5
11364,4
11366,7
11368,2
11370,3
11371,4
11372,0
11373,6
11380,7
11385,2
11386,2
11388,2
11389,9
11390,7
11392,4
11394,4
11397,4
11399,9
11400,7
11402,3
11404,3
11406,7
11409,3
11410,2
11413,3
11414,2
11418,9
11419,6
11422,7
11424,9
11427,0
11430,3
11433,6
11437,4
11438,5
11441,9
11442,6
11443,4
11444,9
11445,5
11447,3
11448,6
11449,4
11452,0
11453,7
11456,6
11457,3
11458,0
11463,4
11464,6
11465,2
11469,4
11470,2
11472,3
11477,5
11478,3
11480,7
11483,5
11484,7
11485,0
11486,0
11489,3
11490,6
11491,7
11498,6
11499,9
11500,0
11501,7
11503,4
11507,5
11512,3
11513,0
11518,6
11519,9
11520,0
11522,7
11523,3
11529,4
11534,4
11536,4
11543,6
11550,5
11551,9
11554,9
11556,6
11557,0
11566,7
11570,7
11572,3
11574,7
11575,8
11576,0
11578,0
11580,7
11581,9
11583,4
11584,4
11588,4
11590,3
11592,7
11598,9
11599,4
11602,4
11603,6
11604,9
11606,7
11608,5
11612,6
11618,5
11621,0
11623,9
11627,9
11632,7
11633,7
11638,4
11639,7
11640,7
11641,5
11644,4
11647,0
11653,5
11654,0
11655,7
11661,0
11664,5
11666,9
11668,5
11670,3
11671,4
11675,4
11678,7
11679,5
11681,5
11682,7
11684,0
11685,6
11689,0
11692,6
11696,7
11697,7
11698,6
11710,7
11714,5
11715,5
11718,7
11721,9
11726,7
11727,2
11731,6
11734,7
11736,7
11738,5
11739,9
11741,3
11742,0
11743,7
11744,4
11747,3
11748,0
11749,0
11751,5
11760,6
11761,3
11762,9
11763,4
11764,4
11768,2
11773,5
11784,9
11786,4
11788,3
11791,5
11792,7
11793,9
11795,6
11798,4
11801,7
11805,0
11807,0
11810,4
11811,6
11812,7
11815,7
11817,9
11818,4
11822,7
11824,4
11826,9
11829,3
11830,3
11834,9
11836,5
11841,2
11842,2
11846,7
11848,2
11851,6
11852,3
11853,7
11855,8
11856,5
11857,7
11858,7
11859,0
11862,7
11863,5
11864,6
11866,7
11870,9
11874,2
11876,5
11877,9
11879,7
11880,7
11886,7
11888,5
11892,6
11897,7
11900,7
11901,4
11910,7
11911,5
11913,4
11916,5
11923,4
11926,5
11928,0
11931,0
11934,0
11938,4
11940,5
11941,7
11944,7
11945,2
11948,3
11956,4
11958,3
11960,9
11964,0
11965,5
11966,0
11967,9
11970,4
11972,0
11973,2
11975,6
11978,5
11983,7
11985,0
11990,9
11991,0
11993,9
11994,5
11997,3
12004,4
12005,6
12006,9
12007,6
12008,2
12009,7
12010,6
12020,4
12028,6
12029,7
12031,9
12032,5
12034,4
12038,6
12040,2
12044,0
12046,8
12047,3
12051,3
12054,0
12055,6
12058,7
12059,0
12060,7
12061,4
12062,6
12065,7
12069,0
12072,9
12073,0
12077,2
12083,9
12084,2
12086,0
12087,2
12088,4
12089,7
12092,4
12095,9
12097,7
12098,2
12099,4
12101,2
12102,5
12104,5
12107,6
12110,0
12113,4
12114,7
12115,9
12121,9
12125,0
12126,7
